"","OEC3","Astro1","Astro3","OEC1","EC2","MicroG2","MyOligo","MicroG1","OEC5","MicroG3","Mes1","OEC2","OEC4","EC1","Mφ","OPC","Mono","Mural2","Mural1","Astro2","RBCs","Mes2","n03-GC-1","n02-PGC-1","n07-GC-2","n17-M/TC-3","n06-Transition","n01-OSNs","n13-AstrocyteLike","n09-GC-3","n14-GC-7","n10-GC-4","n05-PGC-2","n18-EPL-IN","n04-Immature","n16-M/TC-2","n08-PGC-3","n11-GC-5","n12-GC-6","n15-M/TC-1"
"merge_spot1",0,0,0.106593141269357,0,0,0.0270626940928319,0.0200382460374864,0,0.00999517062594885,0,0.0662186206908444,0,0.0258357669103815,0,0.0965020791283777,0,0,0,0,0.00753167961222144,0.0158171940659358,0.0179593036516409,0,0.148419845288232,0,0.0254473679872793,0,0.140785632698671,0,0,0,0.115684756265744,0.132042238777009,0,0.0354054343681124,0,0,0,0.00821475437601152,0
"merge_spot2",0.0142085015715375,0,0.0620912309972572,0,0,0,0.010171589216839,0,0.0691892693823859,0,0.0463520444662277,0,0.0586458454092234,0,0,0,0.0120554226983404,0.0193348318549704,0.0434244522141381,0,0,0.016912540366565,0.0658213599216305,0.158413289588222,0,0.0295962371171919,0,0.0825675810411943,0.101830297791575,0,0.00429920360948808,0.0647657648979393,0.116576192418789,0,0.0211651024319387,0.00220032732656631,0,0,0,0
"merge_spot3",0.0425707727187783,0.0424745647797301,0,0,0,0,0,0,0.00338699062364724,0,0.0321223222149172,0,0.128460979709693,0.0272713207310341,0,0.00666970051551041,0,0,0,0.078077105762183,0,0.0215708027187614,0,0.189905042375034,0,0.040646485433717,0,0.152954215350338,0,0,0,0,0.11505702273019,0.0090723377856663,0,0.0457651610739204,0.0459104442790649,0,0,0.0175605476980379
"merge_spot4",0,0,0.0439905791830779,0,0.046705358833927,0,0.00651087959537905,0,0,0,0.0438119415399871,0,0.123974289552685,0,0.0214530053638106,0,0,0,0.0499138773600456,0,0,0.0183792806282668,0.0313042432693646,0.193454052716175,0,0.0300057418731385,0,0.160723062074357,0,0.0102721305736613,0,0,0.173731168777591,0.00957487987305589,0,0.0356983266986664,0,0,0,0
"merge_spot5",0.00177380124473691,0,0.0799977332533857,0,0,0,0.020393687208425,0,0,0,0.0209968988926301,0,0.0795590232091603,0,0,0,0,0.00893995436553123,0.0116205200850995,0.112715113745931,0.143180667978301,0,0,0.139867680767545,0,0,0,0.152815957520817,0.0454744439540663,0,0,0.0328414628541854,0.0687771692229594,0.0405537148333863,0,0.0205883175746771,0,0,0,0.0196449639644757
"merge_spot6",0.114081106393849,0.0156431538905086,0.0171747496433979,0,0.0497255067820339,0,0.00908633595824846,0,0,0,0.0177015318813049,0,0.0418544937716447,0.00246449742603568,0,0,0.00920730297312982,0.00407150913589877,0,0,0,0,0,0.167483612184551,0,0.0596316017601805,0,0.285029320763189,0,0,0,0,0.106832694765512,0.0192661234837374,0,0,0.0537312023994476,0,0,0.0265332599591115
"merge_spot7",0,0,0.105902536555647,0,0,0.00729478631849734,0.00436330604333859,0,0.00113145586146171,0,0.0204194033316032,0,0.13099861777086,0,0,0,0,0,0,0.125915653954282,0,0.0109355681891736,0.0092884041580693,0.16273266188619,0,0.030399947256989,0,0.144550612043305,0,0,0,0.13523586245988,0.043060905136584,0,0,0.0631536926151196,0.00211929003562802,0,0,0.00203958782492794
"merge_spot8",0,0,0,0,0,0,0.0274574760370901,0,0,0,0.0344300804848417,0,0.0879926528964825,0.0150675932226432,0.105085080450802,0,0,0,0.0451999124378945,0,0,0,0.219242543918051,0,0,0,0,0.245197914970076,0,0,0,0,0,0,0,0,0.219892784993761,0,0,0
"merge_spot9",0.0313320969852553,0,0.0903471662323446,0,0,0,0.00743572092054593,0,0,0.0251382341758472,0.0116835439281695,0,0.0558337860873099,0,0,0,0,0,0,0,0,0.0265203166186171,0.0215703921051654,0.168833117874233,0,0.00191791553116553,0,0.0812035769848065,0.357975624249825,0,0.00529534974382947,0,0.063470293488848,0,0,0.0509147409198972,0,0,0,0
"merge_spot10",0.0755525772969236,0,0.0698316240603331,0,0.0191862731609619,0,0.0422151076791024,0,0,0.0779654542582901,0.0513635518431013,0,0.0522946560339098,0,0,0,0,0,0,0,0,0,0.0289107977914098,0.129662964038709,0,0,0,0,0,0,0,0,0.234667799294993,0,0,0.128591402677047,0.0890048984891509,0,0,0
