"","B cell_Jchain high","Erythroid cell_Hbb-bs high","Hepatocyte_Alb high","Hepatocyte_Fabp1 high","Kupffer cell","Erythroid cell_Hbb-bt high","Endothelial cell","Granulocyte","NK cell_Gzma high","Macrophage_Chil3 high","Dendritic cell","B cell_Fcmr high","T cell_Trbc2 high","Plasmacytoid dendritic cell_Siglech high","Hepatocyte_Spp1 high","Hepatocyte_Car3 high","Hepatic stellate cell"
"7x53",0.0155822746598597,0,0.72721800228996,0.0245672465667882,0,0,0.0802489270299851,0,0,0,0,0,0,0,0,0.124962216997313,0.0271140276004315
"8x50",0.0203246541029668,0,0.763021122792655,0,0,0,0,0,0,0,0,0.0319788110509206,0,0,0,0.171763855436331,0.0122541312575611
"8x52",0,0,0.747442792473283,0,0,0,0.0298003620864247,0,0.0156255090335662,0,0,0,0.00915882706962477,0,0.0112609212234384,0.17327512495775,0.0128186613691849
"8x54",0,0,0.758764219032527,0,0.0217625766292175,0,0,0,0,0,0,0,0,0,0.0102307598579409,0.189231278936731,0.0194115274367199
"8x56",0,0,0.720433296690001,0,0,0,0,0,0.0170953663728825,0,0.0345555871642646,0,0,0,0.00595572264056044,0.20560300446547,0.0157003910547544
"9x49",0.00644800159869522,0,0.707417855519239,0.0995259524834582,0,0,0,0,0.0230697768979067,0,0,0,0,0,0,0.132712537305913,0.0306390378693055
"9x51",0,0,0.660863222708575,0,0.0232406344620266,0,0.0151785277917809,0,0,0,0,0,0,0.00765071310995594,0.00657354594470973,0.272428979677058,0.0136447532978443
"9x53",0,0.0493851279724212,0.652517230937167,0,0,0,0,0.0106618970046848,0.011519054572544,0,0.00527283071595318,0,0,0,0.00773994004268035,0.260673965749772,0.00163959937745756
"9x55",0,0,0.766201264037493,0,0,0,0,0,0,0,0,0,0,0.0429013779988831,0.0166143638931959,0.16591881891459,0.00794441826347958
"9x57",0.0178054022429133,0,0.716674504212828,0.0589724196432104,0,0,0,0,0,0,0.00642268036825258,0,0,0,0,0.176798278557813,0.0224580903988901
"10x46",0.00483158834958494,0,0.708721598985104,0,0,0,0,0,0,0,0,0,0,0,0,0.252940758591543,0.0331166025316793
