"","OEC3","Astro1","Astro3","OEC1","EC2","MicroG2","MyOligo","MicroG1","OEC5","MicroG3","Mes1","OEC2","OEC4","EC1","Mφ","OPC","Mono","Mural2","Mural1","Astro2","RBCs","Mes2","n03-GC-1","n02-PGC-1","n07-GC-2","n17-M/TC-3","n06-Transition","n01-OSNs","n13-AstrocyteLike","n09-GC-3","n14-GC-7","n10-GC-4","n05-PGC-2","n18-EPL-IN","n04-Immature","n16-M/TC-2","n08-PGC-3","n11-GC-5","n12-GC-6","n15-M/TC-1"
"merge_spot4",0,0.0163151702574149,0,0,0,0,0.00649336677677665,0,0,0,0.00740526767146594,0,0,0,0,0,0.0133365601222016,0,0,0,0.440783600169872,0.0175633674704562,0.03168613065019,0,0,0,0,0.0154064103875559,0.303474451017496,0,0,0,0.00577415004689763,0.0227783230888667,0.0177542645947776,0.00223966108691943,0,0,0,0.0985582486588792
"merge_spot5",0,0.0531479160322679,0.108251305122435,0.0229458408008078,0,0,0,0.0461561970650189,0,0,0.0198171506206765,0,0.0253779930375825,0.0125670278274927,0,0,0,0,0,0,0,0,0,0.176330459081699,0,0.115966052803195,0,0,0,0,0,0.176763126497356,0,0.00143481125423358,0.0485505193221075,0.0539073410962815,0,0.00102057390805629,0.0422423982489674,0.093897823828363
"merge_spot6",0,0,0,0,0,0,0.0155679859040339,0,0,0.0533485274218674,0.0186927766449955,0,0,0.0784424068146628,0,0,0.0169358497407099,0,0,0,0,0,0.0402880299060068,0,0,0.0020022661890784,0,0.0686594089374424,0.163582064005506,0.0500474454003989,0.145560459817675,0,0.0192990541832369,0,0,0.123047563299925,0.146841968133405,0,0.0408523839793313,0.0160334977826953
"merge_spot7",0,0,0,0,0,0,0.0106542096819494,0,0,0,0.0219803148716449,0,0,0,0,0,0.16145887550717,0,0,0,0,0,0.117461170159617,0,0,0.217310682504885,0,0,0.137056680946638,0,0.0852934742855229,0,0,0,0.0290617644256841,0.0484480961319614,0.0284114953028279,0,0,0.140150204554535
"merge_spot8",0,0.248331299109483,0.046126178912776,0,0,0,0.00355520127258979,0,0,0,0.0294665367186007,0,0.0122002004088421,0.0163092270129683,0,0,0,0,0,0,0,0,0.0970794264653535,0.118533935597347,0,0.0242291885359999,0,0,0,0,0.0870960191665519,0.0421880686660426,0.114382365966761,0.0307953824913634,0,0.0746907593603499,0,0,0,0.0535813960977975
"merge_spot9",0,0,0.280651541863337,0,0,0,0,0,0,0,0.0279678030519672,0,0,0,0,0.190677406173209,0.0604154398374632,0.0190092577490016,0,0.127009486981976,0,0,0,0.0697922742577574,0,0,0,0,0,0,0.0278827159720842,0,0,0.0271962591825581,0.0424926635424942,0.0347477745615383,0,0,0.0390864797936843,0.052160436909036
"merge_spot10",0,0,0.241150266069481,0,0,0,0,0,0,0,0.0576207265162421,0,0,0,0,0.0902156531504049,0,0,0,0,0,0,0.0713103704668499,0,0,0,0,0.0142946037802294,0,0,0,0,0.134692621756328,0.170157179201543,0,0.0401299069053018,0.0862436893478027,0,0.0926326471805367,0
"merge_spot11",0,0.0866923411510775,0,0,0,0,0.0260148341830561,0,0,0,0.0161624987032932,0.0182524324901169,0,0,0,0,0,0,0,0.0618099828467095,0,0,0.0133998521346793,0.21549758131747,0,0,0,0.0693815364565878,0.134207099261136,0,0,0.0864889327225583,0,0.0791952566553522,0,0.043139567897743,0.0545640138256049,0,0.0407343656580529,0.0535453334463825
"merge_spot12",0,0.0221674189058181,0.163916762711543,0,0,0.0565458372396869,0.00432005722828203,0,0,0.00257519310116561,0.073556047560406,0,0,0.0460868684810975,0,0,0,0,0,0,0,0,0,0.153060512862459,0,0.104245055624307,0,0,0.14033014415689,0.0391371237135848,0,0.0127260293902928,0.023234851412841,0,0,0,0.0465830909161635,0,0.0733549007786194,0.0360886024175469
"merge_spot13",0,0,0,0,0,0.0279559830759917,0.00972118688375739,0,0,0,0.0484879706971118,0.00781964217115776,0.106218381512151,0,0,0.0832336698791746,0,0,0,0.112961791069251,0,0,0.0837760193830948,0,0,0.00263305903172672,0,0.0273914671599117,0,0,0,0,0,0.0469741097133898,0.0618782945149965,0.0517693860332029,0.183651838018162,0,0.0938018495119925,0.0504634813952983
"merge_spot14",0,0.160014160751702,0,0,0,0,0,0,0,0.108751737138806,0.0498091944739936,0,0.0517782924737133,0,0,0,0,0,0,0,0,0,0,0.209601441272926,0,0,0,0,0.118319078788025,0.0844580386539788,0,0,0,0.0357724737429655,0,0.0473335818931932,0,0.0856784195146829,0.019799506259992,0.026978520622914
"merge_spot15",0,0,0,0,0,0,0,0,0,0,0.0339169136531408,0,0.0226217662699116,0,0,0.028488238198497,0,0,0,0.0643398716322666,0.58603766031068,0,0.0177245457553708,0.00785165649307602,0,0,0,0.00376421636966814,0,0,0.0704517749119611,0,0.0927295954919807,0,0,0.0715032507050992,0,0,0,0
"merge_spot16",0,0,0,0,0,0,0.0099293830112664,0,0,0,0.0593035055802322,0,0,0,0.075571424327947,0,0,0,0,0.0441364053057581,0,0,0,0.202149670017634,0,0.044648831593373,0,0,0.173845393983604,0,0,0,0.0687632200953406,0,0,0.144916928037796,0.148436530852515,0,0,0.0269049978103483
"merge_spot17",0,0.0595988710212401,0.0953415178045398,0,0,0,0,0,0,0,0.0347517208396063,0,0.0444823857793239,0.0597508944826808,0,0,0,0,0,0,0.10063798238432,0.00210844553096331,0.0964254550840953,0.0681494891101909,0,0.037464547737322,0,0.0434197834641857,0.0495700477360421,0,0,0,0.0803573601759928,0.00638624726430046,0,0.0628133326872624,0,0.0944020292466091,0,0.0631359257187402
