"","Interneuron","Microglia","Macrophage","Ependymal","Choroid_plexus","Neurogenesis","Cajal_Retzius","Endothelial_stalk","Mural","Endothelial_tip","Neuron","Entorhinal.cortex","Deep.layer.subiculum","Entorhinal.cortex..IEG.","Dentate.principal","CA1.principle.anterior","CA1.principal","Anterior.Subiculum..proximal.to.CA1","CA3","Lateral.CA3.principal","CA2","Dentate.hilum","Astrocyte","Oligodendrocyte","MyelinProcesses","Polydendrocyte","Layer.6","Layer.5","Medial.habenula","Medial.habenular..lateral.portion","Lateral.habenula","Lateral.Geniculate.Nucleus...LGN.","Lateral.dorsal.thalamic.nuclei..LD."
"merge_spot1",0.136728556559636,0.0125415239757126,0,0.00775262995382612,0,0,0.203387095158694,0,0,0,0.115944602032123,0.0031501673110678,0.0407848737974951,0,0,0,0,0,0.0206585915251599,0,0,0,0.100847744437196,0,0.0619762064613177,0.0592299571041142,0,0,0,0,0.156914942571308,0.0791613476410806,0
"merge_spot2",0.357186059487693,0.0573342010064056,0,0,0.0119605040359091,0,0.030026357421914,0,0,0,0.0163292410323845,0,0,0.00154760848174869,0.00782137744416938,0,0,0,0.00896256165537912,0,0,0,0.0269013117505221,0.110087153631821,0.190959965201262,0.0369867450557632,0,0,0,0,0.044180656699816,0,0.0984794003623223
"merge_spot3",0.312790596513366,0,0,0,0,0,0.0482027222148972,0,0.00894626576521445,0,0.132002814515947,0,0,0,0,0,0.0646366770843535,0,0,0,0,0,0.0741127150509318,0,0.020782105023435,0.072893350526205,0,0,0,0,0.037916717395564,0,0.226604170295749
"merge_spot4",0.251026795938767,0.0126407173553581,0.0099449905209889,0,0,0,0.0432462604994881,0.0180597980272788,0,0,0.00104089838321561,0.00995576791366239,0.199907044046382,0,0,0,0.0363978524764118,0,0.0102695794646642,0,0,0,0.0626753208654415,0,0.0314484501964004,0.0273404790123836,0.0188823030423216,0,0,0,0.0451790320375299,0.00947358703172499,0.211756991838935
"merge_spot5",0.0932053559628058,0.00369743815138704,0.00667212976287983,0,0,0,0.00181274906070727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489087824770479,0.550539843618199,0.215286969394707,0.00144531660128191,0,0,0,0,0.0171367134546831,0,0.0611909374107328
"merge_spot6",0.136219335122416,0.00835251512903341,0,0,0.00952804541977081,0,0.0674825435106643,0,0.0101578970408194,0.00983694379583383,0.0378626163661014,0,0,0.0285858451499971,0,0,0,0,0.0239055370065907,0,0,0,0.116858073126475,0.189645555540323,0.185707240248649,0.0411631846036351,0,0,0,0.0241605912902821,0,0,0.110125772605785
"merge_spot7",0.250587717261981,0.0028765800539114,0.00448668533237258,0.00250490936498196,0.00453784827499282,0,0.110558050343259,0.00363728474536055,0.00240194346375783,0,0,0,0.0264310304389578,0.0504286836457903,0.015522020496389,0,0,0,0.0102458474148591,0,0,0,0.11322569939669,0,0.195888171599039,0.0168644475460426,0.00331830069225497,0,0,0,0.0781888602089335,0,0.107254266114689
"merge_spot8",0.102610528973201,0.00399996228238341,0,0,0,0,0.075182480242585,0.0298971489011548,0.0162068073552549,0.0149163932119658,0.0160882100219575,0.0108570219613711,0.0878386108846338,0,0,0,0,0,0.0689670003160435,0,0,0,0.0386941256206935,0,0.301042038803824,0.0179261267419595,0,0,0,0,0.0900266919249307,0,0.124918912721539
"merge_spot9",0.342275607566985,0.00763938034470625,0,0,0.00535524774166829,0,0.0210750252979406,0,0.00459345292359939,0,0,0,0.0702153681569761,0,0.0189775695808317,0,0,0,0,0,0,0,0.0287302992209291,0.110662233395359,0.15236432404323,0.0101781035567758,0,0,0,0,0.0387450804562641,0,0.188227398964405
"merge_spot10",0.228723281538374,0.00138954069961003,0,0,0,0,0.0356981062036783,0.0069250722977306,0.00728101105686864,0.00423588093642028,0,0,0.0241661762967036,0,0.00769864717663692,0,0,0,0.0602534308943175,0.0413086547408557,0,0,0.0440595032114852,0,0.367413363390231,0.0432488509331924,0,0,0,0,0.04759379634603,0,0.0793588257962052
