"","B cell_Jchain high","Erythroid cell_Hbb-bs high","Hepatocyte_Alb high","Hepatocyte_Fabp1 high","Kupffer cell","Erythroid cell_Hbb-bt high","Endothelial cell","Granulocyte","NK cell_Gzma high","Macrophage_Chil3 high","Dendritic cell","B cell_Fcmr high","T cell_Trbc2 high","Plasmacytoid dendritic cell_Siglech high","Hepatocyte_Spp1 high","Hepatocyte_Car3 high","Hepatic stellate cell"
"22x38",0,0,0.728575943518514,0,0,0,0,0,0,0.00484976166068639,0,0,0.0137637719605052,0,0.0136540871031289,0.210833092336033,0.0279100184958827
"23x37",0.00996269065779908,0,0.600738495913291,0,0,0,0.0122641262882139,0,0.00575527939806673,0,0,0,0,0,0.0157248543654187,0.33762732815682,0.0174204006013047
"23x39",0,0,0.722595045356812,0,0,0,0,0.00190243543070127,0,0,0,0,0,0,0.0212684264382941,0.217517566756433,0.0362406528404698
"23x41",0,0,0.683322202314385,0.0136300276094253,0,0,0,0,0,0,0,0,0.0164443973692275,0,0.0268416492288667,0.221373392667374,0.0380929840673807
"24x34",0.00959043937908728,0,0.677020599569101,0,0,0,0.0128608224241263,0,0,0,0.00349074722752923,0,0,0,0.0151761301878885,0.24056368368058,0.0399925325811768
"24x36",0,0,0.605574254017188,0.0448489826420491,0,0,0.0526627433236054,0,0,0,0,0,0,0,0.00270642817132686,0.260390070831677,0.0334516125846677
"24x38",0.0247919450709878,0,0.649073889454927,0.00582672133636756,0,0,0,0,0,0,0,0,0,0,0.0497653075105164,0.239105976615103,0.0310766837599964
"24x40",0,0,0.743870964141148,0.0101812102926336,0.00289695067161102,0,0.00814792344733445,0,0,0.00415532338655763,0,0,0,0,0.0178238114705319,0.191919339296139,0.0206996772407871
"24x42",0,0,0.670159275870248,0.00107542971096239,0.0226646800649843,0,0,0,0,0,0.00588642801117128,0,0,0,0.010335859797852,0.251345270157675,0.0374642865562557
"25x21",0,0,0.763013423272011,0.0980841614853608,0,0.0035532545999998,0,0,0,0,0,0,0,0,0.0314496580458861,0.103624999089288,0
"25x23",0,0,0.67292895556328,0.0122949421952483,0,0,0,0,0,0,0,0,0,0,0.013035329867642,0.232855018711524,0.0684533114254741
"25x25",0,0,0.693638673676162,0,0,0,0,0,0,0.0141733795839304,0,0,0,0,0.0470416040367276,0.222002414473187,0.0228960948863838
"25x27",0.00215879393948452,0,0.640621383947342,0,0.0071510766845745,0,0,0,0.0138605882037572,0.0280259606499989,0.0137758427477084,0,0,0,0.0189804644781368,0.23372296686768,0.0413838471190759
"25x29",0,0,0.599212215671316,0,0,0.00565947890312416,0,0,0,0,0,0,0,0,0.0168003732895893,0.340806911860953,0.0370856286910459
"25x31",0.00734096993799307,0,0.741218661109069,0.0241908438434319,0.0134760826772764,0,0,0,0,0,0.00289176578151419,0,0,0,0.0425641614107088,0.147219188057737,0.0201558587453573
"25x33",0.010703288676816,0,0.743991991461709,0,0,0,0,0,0,0,0.0151313730047347,0,0,0.0140169078070187,0.0393205835343009,0.166633754464002,0.0098166967178265
"25x35",0,0,0.651696400448373,0.0226704521758373,0,0,0,0,0.00282455814830902,0,0,0,0,0,0.0173157369788103,0.2634607797622,0.041636322462062
"25x37",0,0,0.567947753332655,0,0.010392337961966,0.0141355476709572,0,0,0,0,0,0,0,0,0.0215377729354531,0.351730657341388,0.0338291342890715
"25x39",0,0,0.631428622117238,0.0348008469560464,0,0,0.040114257163175,0,0.00145848332657397,0.0149570555746725,0,0.00676631278613855,0,0,0,0.246513835911359,0.0236608928868454
"25x41",0,0,0.707942802137842,0,0.0126767827758049,0,0,0,0,0.026488431733766,0,0,0,0.00212433336787338,0.0392841533160383,0.190052962720502,0.0210861410229233
"25x43",0.00834778161089531,0,0.734911193711819,0,0,0,0,0,0,0.0244398941418538,0,0,0,0,0.053018474267548,0.158890161601816,0.0200045695209214
"26x20",0,0,0.667301483980616,0.0432115604881431,0,0,0.0159928155891779,0.00267982874148622,0,0,0,0,0,0,0.053510261389978,0.21321773547007,0.00379328293961955
"26x22",0.0266890216628118,0,0.688910046858537,0.0663927346392474,0,0,0,0,0,0.017224468439277,0,0,0,0,0.0134755579129379,0.150257801855506,0.0368178479809003
"26x24",0.019317299096339,0,0.638027200242282,0.0140009006209114,0,0,0,0,0,0.00214650430585794,0,0,0,0,0.00990639373205692,0.262196491527936,0.0540684786579409
"26x26",0,0.00120387022730618,0.619302879161853,0.0264640160641459,0,0,0,0,0.0255865876129385,0,0,0,0,0,0.0229912672310505,0.265732517454664,0.0383409775479425
